property_id,property_type,location,city,country,price,size_sqft,bedrooms,status,listing_date
PROP000001,House,Lagos,New York,Australia,1572401.36,7532,4,Sold,2024-06-30
PROP000002,Apartment,Dubai,Sydney,USA,347141.06,6109,3,Available,2020-05-11
PROP000003,Retail,Dubai,Singapore,USA,651287.78,8241,4,Sold,2020-05-22
PROP000004,House,Sydney,London,USA,1205935.74,8180,1,Available,2023-01-08
PROP000005,Villa,Toronto,Lagos,Australia,467834.18,9107,5,Available,2020-11-16
PROP000006,House,Singapore,Dubai,Singapore,1377939.69,5088,2,Sold,2018-06-02
PROP000007,Office,Singapore,Berlin,Singapore,277911.3,674,3,Rented,2019-08-17
PROP000008,Apartment,Dubai,Singapore,Canada,1173710.55,3850,4,Sold,2023-11-17
PROP000009,Villa,Lagos,London,UAE,1021291.1,4002,4,Sold,2020-09-29
PROP000010,Apartment,New York,Toronto,Canada,1268555.29,8422,2,Rented,2022-10-27
PROP000011,Apartment,Toronto,Lagos,Singapore,1110272.68,1902,3,Available,2024-02-03
PROP000012,Villa,Singapore,Toronto,Australia,1045677.84,568,4,Available,2019-08-21
PROP000013,Villa,London,Berlin,UAE,696894.83,595,4,Available,2019-03-07
PROP000014,Office,Lagos,Singapore,Canada,262062.32,7406,1,Available,2022-05-12
PROP000015,Villa,Dubai,Lagos,Singapore,389570.45,4487,5,Sold,2024-11-14
PROP000016,House,Singapore,Dubai,Australia,603025.1,6342,2,Sold,2024-08-20
PROP000017,Office,Toronto,Lagos,UK,60385.72,9477,3,Sold,2019-04-08
PROP000018,Villa,Berlin,Singapore,Canada,489869.64,2268,2,Available,2019-03-18
PROP000019,House,London,Sydney,USA,1377346.74,5567,3,Available,2018-08-25
PROP000020,Retail,Berlin,Sydney,USA,278434.69,333,1,Sold,2018-11-25
PROP000021,Apartment,Sydney,New York,USA,1423552.88,2179,4,Rented,2023-06-13
PROP000022,Apartment,Lagos,Berlin,Canada,942440.42,8757,4,Available,2024-04-20
PROP000023,House,New York,Toronto,Canada,1540830.15,6669,2,Sold,2022-08-31
PROP000024,Retail,Lagos,New York,Nigeria,1295355.33,4531,4,Rented,2023-05-22
PROP000025,Retail,Singapore,Sydney,Germany,1003584.6,1929,1,Rented,2019-05-02
PROP000026,Office,Toronto,Lagos,UAE,357075.26,7649,3,Sold,2020-09-16
PROP000027,Office,Lagos,New York,UAE,901417.62,775,2,Sold,2020-06-18
PROP000028,Apartment,Lagos,Lagos,Canada,319460.89,2985,1,Sold,2020-09-22
PROP000029,Apartment,Toronto,Singapore,Australia,1367853.73,6862,5,Rented,2021-06-27
PROP000030,Retail,Singapore,Berlin,UK,1894334.37,9449,1,Sold,2024-01-25
PROP000031,House,Sydney,Sydney,USA,1656426.63,3913,5,Sold,2020-10-30
PROP000032,Retail,Berlin,Toronto,Nigeria,1140527.59,1917,2,Available,2021-01-12
PROP000033,Office,London,Sydney,USA,454670.7,5844,5,Rented,2024-12-23
PROP000034,House,Toronto,Berlin,UAE,1829297.32,6024,4,Rented,2020-09-26
PROP000035,Retail,London,London,Canada,176702.52,6197,3,Available,2020-07-15
PROP000036,Villa,Sydney,Toronto,USA,547383.96,725,5,Rented,2024-01-09
PROP000037,Apartment,London,Toronto,Nigeria,1207557.52,9861,2,Rented,2019-11-18
PROP000038,Apartment,Berlin,Berlin,Nigeria,1682050.24,968,4,Rented,2023-03-17
PROP000039,Apartment,London,New York,UAE,138127.4,6350,3,Sold,2023-01-08
PROP000040,Retail,Toronto,Singapore,Nigeria,696548.99,8022,1,Sold,2024-06-16
PROP000041,Apartment,Dubai,Toronto,Canada,1214729.84,1060,2,Available,2020-07-02
PROP000042,Office,Toronto,Lagos,Germany,1718211.41,7413,2,Sold,2022-06-20
PROP000043,Retail,Toronto,Singapore,UAE,864003.46,2773,2,Sold,2024-04-22
PROP000044,Retail,Sydney,Lagos,Germany,484651.93,4049,5,Sold,2023-12-03
PROP000045,House,Lagos,London,Canada,1239166.61,8520,3,Sold,2020-12-31
PROP000046,Apartment,Toronto,Dubai,Nigeria,387791.48,7144,3,Available,2021-12-26
PROP000047,Retail,Toronto,London,Singapore,722843.61,8968,5,Sold,2020-07-03
PROP000048,Apartment,Toronto,New York,UAE,1129871.24,2865,4,Rented,2024-08-18
PROP000049,House,Dubai,Lagos,Australia,714377.53,1073,2,Available,2021-09-12
PROP000050,Villa,London,Lagos,Canada,123167.1,8437,1,Rented,2018-04-16
PROP000051,Apartment,Singapore,Sydney,Germany,82455.87,6705,5,Sold,2024-09-14
PROP000052,Office,Berlin,New York,UK,953045.52,6930,2,Rented,2020-12-20
PROP000053,Apartment,Toronto,Toronto,Canada,1192788.1,6195,5,Available,2019-02-20
PROP000054,Retail,Singapore,Singapore,UK,541004.74,6091,1,Rented,2019-06-20
PROP000055,House,Sydney,Berlin,Canada,1911865.61,2977,2,Rented,2018-10-02
PROP000056,Office,Lagos,Lagos,Singapore,888174.26,8950,4,Available,2024-10-14
PROP000057,Retail,Sydney,Lagos,Australia,643607.56,4319,1,Sold,2020-05-21
PROP000058,House,Toronto,Lagos,Canada,1746186.03,5002,1,Rented,2022-04-14
PROP000059,Retail,Singapore,London,USA,1475834.0,7057,1,Rented,2018-04-27
PROP000060,Office,Sydney,Dubai,UAE,1540098.28,9004,5,Sold,2018-11-19
PROP000061,Apartment,Berlin,Dubai,Canada,738529.09,5516,1,Sold,2022-05-21
PROP000062,Office,New York,Singapore,Canada,1341787.54,5784,5,Available,2019-02-03
PROP000063,Apartment,London,Sydney,UAE,256511.55,7508,1,Sold,2024-07-22
PROP000064,Villa,Berlin,Singapore,Germany,1055048.82,8396,3,Sold,2021-08-23
PROP000065,Apartment,Dubai,Berlin,Nigeria,1204579.37,4421,4,Sold,2021-09-12
PROP000066,Apartment,Singapore,Sydney,Australia,223213.15,7839,4,Sold,2023-04-14
PROP000067,Villa,Toronto,Berlin,USA,1603124.43,3845,4,Rented,2018-01-10
PROP000068,House,Lagos,Toronto,Canada,1849188.33,9216,2,Rented,2024-04-13
PROP000069,House,Sydney,Singapore,Nigeria,1282143.24,6781,2,Available,2023-12-28
PROP000070,House,Singapore,Lagos,Nigeria,1440113.06,4642,3,Rented,2024-06-20
PROP000071,Villa,Toronto,Berlin,USA,154791.17,1250,1,Available,2024-01-11
PROP000072,Retail,New York,Dubai,Canada,588757.74,5866,1,Rented,2023-04-20
PROP000073,Office,Sydney,London,UAE,691776.12,2955,2,Available,2020-09-20
PROP000074,Apartment,Singapore,New York,Australia,1240652.05,4654,2,Available,2022-01-19
PROP000075,Retail,Dubai,London,Nigeria,526559.15,2350,3,Sold,2023-09-24
PROP000076,Apartment,Toronto,Berlin,Australia,390573.56,542,1,Rented,2018-12-21
PROP000077,Villa,Singapore,Dubai,UK,96389.96,9336,4,Available,2018-03-02
PROP000078,Office,London,Berlin,Australia,1177919.33,6927,4,Sold,2024-07-01
PROP000079,Office,Lagos,Sydney,Germany,459362.19,4917,3,Rented,2018-11-11
PROP000080,Retail,Toronto,Dubai,Singapore,1086493.45,9710,2,Available,2021-11-18
PROP000081,Apartment,Toronto,Singapore,USA,1203876.85,7373,1,Rented,2022-12-03
PROP000082,Office,New York,Singapore,UAE,1743010.03,9325,5,Sold,2018-05-11
PROP000083,Villa,Singapore,London,UAE,104948.8,4340,1,Rented,2018-04-17
PROP000084,Villa,Singapore,Singapore,Australia,1505189.25,8259,2,Rented,2018-09-24
PROP000085,Villa,New York,Lagos,Australia,307562.9,4953,2,Available,2019-05-31
PROP000086,Villa,Dubai,Singapore,UAE,816387.08,1098,3,Available,2018-06-04
PROP000087,House,Toronto,Sydney,UAE,1482722.18,8687,1,Sold,2024-08-13
PROP000088,House,Lagos,Lagos,UAE,761705.05,527,5,Rented,2018-01-18
PROP000089,Villa,Lagos,Dubai,USA,1208993.11,7176,1,Available,2018-07-22
PROP000090,Office,Toronto,Toronto,UAE,1370915.65,7818,4,Sold,2021-02-09
PROP000091,Villa,Sydney,Toronto,UK,635694.15,8701,2,Available,2019-12-12
PROP000092,Office,London,Dubai,Canada,1298896.34,8523,3,Rented,2021-03-20
PROP000093,House,London,Singapore,Canada,780648.16,1671,2,Sold,2024-01-04
PROP000094,House,Sydney,Dubai,Canada,299065.61,3029,1,Rented,2023-11-13
PROP000095,Villa,Singapore,Sydney,UAE,1787959.48,7957,4,Available,2019-11-14
PROP000096,Office,Toronto,Singapore,Germany,1544305.32,2101,2,Rented,2020-05-21
PROP000097,Retail,Sydney,Lagos,Singapore,304434.81,1359,4,Available,2024-10-21
PROP000098,Retail,Lagos,New York,Germany,302471.89,2376,5,Sold,2023-07-22
PROP000099,Retail,Lagos,New York,USA,945524.79,5089,4,Rented,2022-12-01
PROP000100,House,London,New York,Singapore,972337.8,9483,5,Sold,2021-06-05
PROP000101,Villa,Berlin,Toronto,Germany,1849208.83,6334,3,Sold,2024-12-19
PROP000102,Apartment,Berlin,Toronto,Singapore,654510.36,1794,3,Sold,2020-05-13
PROP000103,House,Singapore,Sydney,Germany,1259180.87,6434,1,Rented,2019-01-02
PROP000104,Office,Singapore,Dubai,Nigeria,1018913.03,955,4,Rented,2022-09-11
PROP000105,House,Lagos,Dubai,UAE,846271.83,9738,2,Sold,2020-02-06
PROP000106,Villa,Dubai,Dubai,Germany,109862.62,7840,4,Rented,2018-01-28
PROP000107,Apartment,London,Sydney,Canada,760064.58,635,4,Available,2019-11-27
PROP000108,Retail,New York,New York,Germany,135752.78,9894,2,Sold,2023-03-27
PROP000109,Villa,Lagos,London,Canada,571556.8,6648,3,Sold,2022-08-14
PROP000110,Office,Toronto,New York,UK,1412234.35,1744,2,Sold,2019-12-11
PROP000111,Office,Lagos,Berlin,USA,1817130.63,7870,1,Available,2024-11-13
